Word,Definition
Mammal,A warm-blooded animal with hair and that feeds milk to its young.
Mammalian,Relating to mammals.
Melting,The process of changing from a solid to a liquid.
Metabolism,The chemical processes that occur in living organisms to sustain life.
Molecule,Two or more atoms chemically bonded together.
Mutation,A change in an organism’s DNA.
Mutations,Changes in DNA that can affect an organism’s traits.
Nebula,A cloud of gas and dust in space where stars form.
Neutrinos,Tiny subatomic particles with almost no mass.
Neutron,A neutral subatomic particle found in the nucleus of an atom.
Nitrogen,A gas that makes up most of Earth's atmosphere.
Nuclear,Related to the nucleus of an atom or nuclear reactions.
Nucleolus,A structure inside the nucleus involved in making ribosomes.
Nutrients,Substances needed by organisms to grow and stay healthy.
Optician,A person who makes or fits glasses and contact lenses.
Orbit,The path an object takes as it moves around another object in space.
Organism,Any living thing.
Oxidation,A chemical reaction where a substance loses electrons.
Ozone,A gas that forms a protective layer in Earth’s atmosphere.
Pandemic,A disease outbreak that spreads across countries or continents.
Parasite,An organism that lives on or in another and harms it.
Parasitic,Relating to an organism that lives on or in another and harms it.
Particle,A tiny piece of matter.
Pathogens,Microorganisms that cause disease.
Pendulum,A weight swinging back and forth from a fixed point.
Permafrost,Ground that remains frozen for at least two consecutive years.
Phenotype,The observable traits of an organism.
Photosynt,The process by which plants make food using sunlight.
Photosynthesis,The process where plants make food using sunlight.
Pigments,Substances that give color to materials or living organisms.
Plasma,A state of matter with free-moving charged particles.
Pollinate,To transfer pollen from one flower to another for fertilization.
Polymer,A large molecule made of repeating smaller units.
Porosity,The measure of empty spaces in a material.
Potential,Stored energy that an object has due to its position.
Precipice,A steep cliff or overhang.
Predator,An animal that hunts and eats other animals.
Pressure,The force applied to a surface per unit area.
Prokaryote,"A simple, single-celled organism without a nucleus."
Prophase,"The first stage of cell division, where chromosomes become visible."
Proton,A positively charged particle in an atom’s nucleus.
Protostar,A young star still gathering mass from its cloud.
Pulley,A simple machine that uses a wheel and rope to lift objects.
Pulsation,A rhythmic expansion and contraction.
Quasar,"A distant, bright object powered by a supermassive black hole."
Quasars,Extremely bright and distant celestial objects powered by black holes.
Radiation,The transfer of energy through waves or particles.
Reactants,Substances that start a chemical reaction.
Reactions,Processes in which substances interact to form new products.
Receptor,A protein that detects signals and initiates a response.
Reflection,The bouncing of light off a surface.
Refraction,The bending of light as it passes through different materials.
Renewable,A resource that can be replaced naturally over time.
Repulsion,"The force that pushes objects apart, such as in magnets."
Resistance,The opposition to electric current in a circuit.
Respiration,The process by which cells produce energy from food.
Retention,The ability to hold or store something.
Saturated,Containing the maximum amount of a substance.
Sediment,Small particles of rock or sand carried by water or wind.
Seismology,The study of earthquakes and Earth's interior.
Solenoid,A coil of wire that generates a magnetic field when current passes through it.
Solubility,The ability of a substance to dissolve in another.
Spectrum,The range of different wavelengths of light.
Stalactite,A mineral formation hanging from the roof of a cave.
Stalagmite,A mineral formation growing from the floor of a cave.
Subatomic,"Smaller than an atom, such as protons and electrons."
Sublimate,To change from solid to gas without becoming liquid.
Supernova,A massive explosion that occurs when a star dies.
Symbiosis,A close relationship between two different organisms.
Telescope,An instrument used to observe distant objects.
Temperate,A climate with moderate temperatures and seasonal changes.
Terrestrial,Relating to land or Earth.
Thermonic,Relating to the emission of electrons due to heat.
Thermostat,A device that controls temperature.
Titration,A method to determine the concentration of a solution.
Transpire,The release of water vapor from plants.
Tundra,"A cold, treeless biome with frozen ground."
Ultraviolet,A type of electromagnetic radiation with a shorter wavelength than visible light.
Vaccine,A substance that helps the body fight diseases.
Vascular,Relating to blood vessels or plant tissue that transports fluids.
Velocity,The speed and direction of a moving object.
Vibration,Rapid movement back and forth.
Viscosity,A fluid’s resistance to flow.
Volcanism,The process by which magma reaches the Earth's surface.
Xylem,The plant tissue that transports water from roots to leaves.
